#R[cm]          y[R_S0]         x        tau
7.50002575e+15  0.00916578089  0.999999993  2.40281224e-06
7.51578211e+15  0.00918503673  0.999999985  2.41026282e-06
7.53153846e+15  0.00920429257  0.999999993  2.41398811e-06
7.54729482e+15  0.00922354841  0.999999985  2.42143869e-06
7.56305118e+15  0.00924280426  0.999999985  2.42888927e-06
7.57880753e+15  0.0092620601  0.999999985  2.43633986e-06
7.59456389e+15  0.00928131594  0.999999985  2.44379044e-06
7.61032025e+15  0.00930057178  0.999999993  2.44751573e-06
7.6260766e+15  0.00931982762  0.999999985  2.45496631e-06
7.64183296e+15  0.00933908347  0.999999993  2.4586916e-06
7.65758932e+15  0.00935833931  0.999999985  2.46614218e-06
7.67334567e+15  0.00937759515  0.999999993  2.46986747e-06
7.68910203e+15  0.00939685099  0.999999985  2.47731805e-06
7.70485838e+15  0.00941610684  0.999999985  2.48476863e-06
7.72061474e+15  0.00943536268  0.999999993  2.48849392e-06
7.7363711e+15  0.00945461852  0.999999985  2.4959445e-06
7.75212745e+15  0.00947387436  0.999999985  2.50339508e-06
7.76788381e+15  0.0094931302  0.999999993  2.50712037e-06
7.78364017e+15  0.00951238605  0.999999993  2.51084566e-06
7.79939652e+15  0.00953164189  0.999999993  2.51457095e-06
7.81515288e+15  0.00955089773  0.999999993  2.51829624e-06
7.83090924e+15  0.00957015357  0.999999993  2.52202153e-06
7.84666559e+15  0.00958940942  0.999999993  2.52574682e-06
7.86242195e+15  0.00960866526  0.999999993  2.52947211e-06
7.87817831e+15  0.0096279211  0.999999993  2.5331974e-06
7.89393466e+15  0.00964717694  0.999999993  2.53692269e-06
7.90969102e+15  0.00966643278  0.999999993  2.54064798e-06
